# Combined Schaefer-200 + Tian Scale I (S1) — 216 regions
# Index  Label                                            Atlas
  163    7Networks_RH_Limbic_TempPole_2                   Schaefer200_Yeo7
  164    7Networks_RH_Limbic_TempPole_3                   Schaefer200_Yeo7
  165    7Networks_RH_Cont_Par_1                          Schaefer200_Yeo7
  166    7Networks_RH_Cont_Par_2                          Schaefer200_Yeo7
  167    7Networks_RH_Cont_Par_3                          Schaefer200_Yeo7
  168    7Networks_RH_Cont_Temp_1                         Schaefer200_Yeo7
  169    7Networks_RH_Cont_PFCv_1                         Schaefer200_Yeo7
  170    7Networks_RH_Cont_PFCl_1                         Schaefer200_Yeo7
  171    7Networks_RH_Cont_PFCl_2                         Schaefer200_Yeo7
  172    7Networks_RH_Cont_PFCl_3                         Schaefer200_Yeo7
  173    7Networks_RH_Cont_PFCl_4                         Schaefer200_Yeo7
  174    7Networks_RH_Cont_PFCl_5                         Schaefer200_Yeo7
  175    7Networks_RH_Cont_PFCl_6                         Schaefer200_Yeo7
  176    7Networks_RH_Cont_PFCl_7                         Schaefer200_Yeo7
  177    7Networks_RH_Cont_pCun_1                         Schaefer200_Yeo7
  178    7Networks_RH_Cont_Cing_1                         Schaefer200_Yeo7
  179    7Networks_RH_Cont_Cing_2                         Schaefer200_Yeo7
  180    7Networks_RH_Cont_PFCmp_1                        Schaefer200_Yeo7
  181    7Networks_RH_Cont_PFCmp_2                        Schaefer200_Yeo7
  182    7Networks_RH_Default_Par_1                       Schaefer200_Yeo7
  183    7Networks_RH_Default_Par_2                       Schaefer200_Yeo7
  184    7Networks_RH_Default_Par_3                       Schaefer200_Yeo7
  185    7Networks_RH_Default_Temp_1                      Schaefer200_Yeo7
  186    7Networks_RH_Default_Temp_2                      Schaefer200_Yeo7
  187    7Networks_RH_Default_Temp_3                      Schaefer200_Yeo7
  188    7Networks_RH_Default_Temp_4                      Schaefer200_Yeo7
  189    7Networks_RH_Default_Temp_5                      Schaefer200_Yeo7
  190    7Networks_RH_Default_PFCv_1                      Schaefer200_Yeo7
  191    7Networks_RH_Default_PFCdPFCm_1                  Schaefer200_Yeo7
  192    7Networks_RH_Default_PFCdPFCm_2                  Schaefer200_Yeo7
  193    7Networks_RH_Default_PFCdPFCm_3                  Schaefer200_Yeo7
  194    7Networks_RH_Default_PFCdPFCm_4                  Schaefer200_Yeo7
  195    7Networks_RH_Default_PFCdPFCm_5                  Schaefer200_Yeo7
  196    7Networks_RH_Default_PFCdPFCm_6                  Schaefer200_Yeo7
  197    7Networks_RH_Default_PFCdPFCm_7                  Schaefer200_Yeo7
  198    7Networks_RH_Default_pCunPCC_1                   Schaefer200_Yeo7
  199    7Networks_RH_Default_pCunPCC_2                   Schaefer200_Yeo7
  200    7Networks_RH_Default_pCunPCC_3                   Schaefer200_Yeo7
  201    HIP-rh                                           Tian_S1
  202    AMY-rh                                           Tian_S1
  203    pTHA-rh                                          Tian_S1
  204    aTHA-rh                                          Tian_S1
  205    NAc-rh                                           Tian_S1
  206    GP-rh                                            Tian_S1
  207    PUT-rh                                           Tian_S1
  208    CAU-rh                                           Tian_S1
  209    HIP-lh                                           Tian_S1
  210    AMY-lh                                           Tian_S1
  211    pTHA-lh                                          Tian_S1
  212    aTHA-lh                                          Tian_S1
  213    NAc-lh                                           Tian_S1
  214    GP-lh                                            Tian_S1
  215    PUT-lh                                           Tian_S1
  216    CAU-lh                                           Tian_S1
